team_abbreviation_home,team_abbreviation_away,season_type,label,min_avg5,fg_pct_home_avg5,fg3_pct_home_avg5,ft_pct_home_avg5,oreb_home_avg5,dreb_home_avg5,reb_home_avg5,ast_home_avg5,stl_home_avg5,blk_home_avg5,tov_home_avg5,pf_home_avg5,pts_home_avg5,home_wl_pre5,fg_pct_away_avg5,fg3_pct_away_avg5,ft_pct_away_avg5,oreb_away_avg5,dreb_away_avg5,reb_away_avg5,ast_away_avg5,stl_away_avg5,blk_away_avg5,tov_away_avg5,pf_away_avg5,pts_away_avg5,away_wl_pre5
ORL,BOS,Regular Season,0,240.0,0.441,0.4063999999999999,0.7582,13.0,26.6,39.6,24.4,8.4,4.2,17.2,22.2,95.4,WWWLL,0.5216000000000001,0.1499999999999999,0.7516,12.0,29.0,41.0,26.2,8.0,6.4,11.8,20.6,106.8,WLWLL
DAL,SAS,Regular Season,1,245.0,0.4542,0.3726,0.7590000000000001,9.8,37.6,47.4,24.8,5.8,4.2,11.8,17.2,111.8,LLWLL,0.4817999999999999,0.3601999999999999,0.766,6.8,40.6,47.4,24.0,8.0,6.0,12.4,17.8,113.8,WWLWL
SAC,POR,Regular Season,1,240.0,0.4372000000000001,0.4604,0.7358,13.6,28.4,42.0,21.0,6.6,5.4,15.8,25.2,92.4,LWWLL,0.5364000000000001,0.4469999999999999,0.755,8.4,30.8,39.2,26.2,7.4,6.6,13.0,20.4,109.0,LLWWW
MIN,UTH,Regular Season,0,240.0,0.4468,0.3448,0.8076000000000001,11.8,28.4,40.2,21.0,6.8,6.8,17.8,24.6,99.0,LLWLW,0.4338,0.3388,0.7358,9.0,27.2,36.2,17.0,6.8,2.2,11.2,20.6,83.2,WLWWL
DAL,CLE,Regular Season,1,240.0,0.5076,0.3104,0.8366,9.2,29.2,38.4,21.8,6.0,4.2,11.2,22.4,114.6,LLWLL,0.456,0.3445999999999999,0.7544000000000001,8.6,32.2,40.8,20.0,5.8,4.2,12.2,20.6,95.8,WLLWW
IND,LAL,Regular Season,0,250.0,0.4084,0.3246000000000001,0.7556,13.6,30.6,44.2,17.0,10.4,3.6,16.2,20.8,85.4,LLWLL,0.4422,0.2688,0.699,12.0,29.8,41.8,23.6,5.4,4.0,17.4,18.6,93.8,LWWWW
CHI,POR,Regular Season,1,245.0,0.4836,0.386,0.7152000000000001,13.0,33.6,46.6,23.0,7.8,7.0,17.8,26.0,105.4,LLWLW,0.4255999999999999,0.2952,0.7232000000000001,14.2,27.8,42.0,19.6,8.8,4.0,16.0,27.0,94.6,LLWWW
PHX,LAC,Regular Season,0,245.0,0.4536,0.3996,0.7786,15.0,30.2,45.2,25.0,7.8,7.6,12.8,23.6,107.4,WWWWL,0.4933999999999999,0.5144,0.6712,11.2,30.8,42.0,24.4,9.0,3.2,16.4,22.8,100.2,WLLWW
MIN,NOH,Regular Season,1,240.0,0.5230000000000001,0.4347999999999999,0.6811999999999999,10.0,33.0,43.0,30.6,6.4,4.8,13.6,21.8,104.4,LLWLW,0.4688,0.3208,0.8116,10.8,32.4,43.2,19.4,9.0,3.2,16.4,21.0,109.6,LWWWL
MIN,HOU,Regular Season,1,240.0,0.4124000000000001,0.2705999999999999,0.7646000000000001,13.8,33.6,47.4,19.2,6.6,2.8,13.4,17.8,95.8,LLWLW,0.3666000000000001,0.3239999999999999,0.6416000000000001,10.4,33.2,43.6,16.2,6.8,6.2,20.4,18.0,75.8,WWWLL
SAS,ATL,Regular Season,1,250.0,0.4439999999999999,0.3107999999999999,0.7449999999999999,12.0,31.4,43.4,16.2,7.6,8.4,13.4,22.4,98.4,LWLWL,0.4718,0.3225999999999999,0.7532,12.6,31.2,43.8,24.0,7.4,5.6,13.0,25.4,101.6,LWWWL
WAS,LAL,Regular Season,0,240.0,0.458,0.05,0.7934,17.6,27.2,44.8,24.6,10.6,7.6,13.6,20.2,110.8,WLLWL,0.491,0.4465999999999999,0.8134,16.2,35.6,51.8,22.8,7.0,5.2,16.8,24.6,118.4,LWWWW
MIN,BOS,Regular Season,1,240.0,0.458,0.55,0.7632,13.4,27.2,40.6,23.2,9.0,4.4,8.4,21.6,100.4,LLWLW,0.4720000000000001,0.1894,0.7916000000000001,11.0,27.4,38.4,19.4,7.0,3.2,15.6,21.2,97.4,WLWLL
TOR,PHI,Regular Season,1,240.0,0.4312,0.3778,0.8092,10.8,30.0,40.8,19.8,6.8,4.0,17.0,19.8,98.4,LWWWW,0.4678000000000001,0.3336,0.7144,11.2,32.2,43.4,18.0,9.2,4.8,14.0,20.6,105.6,LLWLW
WAS,OKC,Regular Season,1,240.0,0.4938000000000001,0.3084000000000002,0.781,8.4,36.4,44.8,25.2,6.6,5.6,11.6,19.0,117.2,WLLWL,0.4448,0.2554000000000001,0.7577999999999999,13.6,35.6,49.2,26.0,7.4,3.2,19.0,19.8,97.2,WLWWL
HOU,DEN,Regular Season,1,240.0,0.474,0.3021999999999999,0.7242000000000001,12.8,33.0,45.8,26.0,7.8,6.4,14.4,23.2,102.8,LLWLW,0.4688,0.2854,0.7054,17.4,27.8,45.2,24.6,12.6,3.8,17.2,25.2,106.0,LLLLL
CHI,TOR,Regular Season,1,260.0,0.4556,0.3386000000000001,0.7166,13.0,37.8,50.8,25.2,5.8,8.2,14.0,19.4,112.6,LLWLW,0.4698,0.3790000000000001,0.7132,6.2,32.0,38.2,22.6,9.2,5.4,13.6,23.8,103.0,WLLWW
DET,VAN,Regular Season,1,240.0,0.4768,0.3365999999999999,0.76,13.0,31.6,44.6,21.8,9.4,7.4,21.2,27.8,99.2,LLLLL,0.4252000000000001,0.2867999999999999,0.7285999999999999,12.4,27.2,39.6,24.0,10.6,7.0,18.8,28.4,91.8,WWWWL
TOR,CHA,Regular Season,0,240.0,0.4958,0.3372,0.8800000000000001,7.6,32.4,40.0,27.4,4.6,4.0,11.8,17.8,100.6,LWWWW,0.4256,0.3566,0.8432000000000001,11.8,33.0,44.8,17.2,9.0,5.6,14.2,18.2,104.4,LWLLL
MIN,CLE,Regular Season,0,240.0,0.4496000000000001,0.3425999999999999,0.7567999999999999,8.8,28.4,37.2,22.6,5.8,2.4,15.0,21.6,90.2,LLWLW,0.5122000000000001,0.4652000000000001,0.8508000000000001,9.2,28.4,37.6,21.6,6.0,4.4,13.0,26.2,103.8,WLLWW
WAS,SAC,Regular Season,0,240.0,0.426,0.3866,0.7528,15.8,33.4,49.2,17.8,7.8,3.6,19.2,27.2,96.4,WLLWL,0.4628,0.3868,0.7068,14.6,31.4,46.0,20.8,8.2,4.8,17.0,22.8,103.0,WWWWL
DET,CLE,Pre Season,1,240.0,0.4024000000000001,0.3724,0.7292,11.2,27.0,38.2,18.8,5.8,8.0,13.6,21.0,82.4,LLLLL,0.4108,0.3216,0.6688,9.8,31.4,41.2,19.2,6.4,6.8,16.2,23.2,93.0,WLLWW
HOU,DAL,Regular Season,1,240.0,0.5114,0.3498,0.7944,10.4,30.8,41.2,27.2,8.6,4.4,12.6,21.0,112.4,LLWLW,0.4306,0.317,0.733,16.0,27.0,43.0,25.6,8.6,3.0,17.6,23.8,103.0,WLWWW
LAC,DEN,Regular Season,1,240.0,0.47,0.2186,0.8022,16.0,24.6,40.6,26.2,10.4,4.0,17.0,25.2,108.8,WWWLL,0.4462,0.3468,0.7166,18.0,25.0,43.0,21.4,9.4,4.4,18.4,27.8,100.4,LLLLL
UTA,GSW,Regular Season,1,240.0,0.5098,0.4367999999999999,0.7388,14.2,33.2,47.4,24.8,8.2,6.6,16.4,29.6,108.8,LLLLW,0.4550000000000002,0.3545999999999999,0.8462,13.2,24.0,37.2,25.0,9.6,3.8,17.2,25.2,104.8,LLWWW
DAL,CLE,Regular Season,1,240.0,0.5042000000000001,0.4211999999999999,0.7576,10.8,33.4,44.2,22.6,7.0,5.0,14.6,20.4,105.4,LLWLL,0.3766,0.3436,0.7555999999999999,12.8,29.6,42.4,17.6,6.8,4.0,14.0,22.8,79.2,WLLWW
PHI,POR,Regular Season,0,240.0,0.4386,0.3636,0.8301999999999999,11.8,31.4,43.2,20.8,7.8,6.0,12.8,20.0,96.4,WWLWL,0.4601999999999999,0.3508000000000001,0.7116,14.2,27.2,41.4,16.8,9.0,5.2,12.2,25.2,105.0,LLWWW
MIL,DET,Playoffs,0,250.0,0.4584,0.2834,0.8828000000000001,12.2,22.6,34.8,27.0,7.0,1.8,10.2,23.8,103.4,WLLWL,0.5124000000000001,0.4768,0.7527999999999999,12.8,30.8,43.6,25.6,5.2,4.8,13.4,21.8,104.8,WWWLW
PHI,ATL,Regular Season,0,245.0,0.4288,0.265,0.7128,12.0,31.0,43.0,19.8,7.8,6.0,16.0,20.6,89.8,WWLWL,0.444,0.3270000000000001,0.8398,11.2,32.2,43.4,20.0,5.4,5.8,11.0,24.4,102.6,LWWWL
GSW,LAC,Regular Season,1,240.0,0.4884,0.3584,0.8046,13.2,33.4,46.6,24.0,6.4,8.0,15.8,22.2,119.2,WLLWW,0.3970000000000001,0.3968000000000001,0.7436,9.8,26.8,36.6,20.4,9.4,4.2,16.2,21.0,97.4,WLLWW
SAS,LAC,Regular Season,1,240.0,0.4752,0.413,0.7956,10.6,31.0,41.6,22.0,5.2,8.6,12.8,18.4,94.4,LWLWL,0.4386,0.2274,0.6974,14.6,27.2,41.8,21.6,8.0,4.2,14.0,26.2,94.8,WLLWW
DAL,PHX,Regular Season,0,240.0,0.4387999999999999,0.344,0.7882,14.4,23.6,38.0,18.0,9.0,4.0,16.0,26.0,97.6,LLWLL,0.4758,0.2339999999999999,0.7527999999999999,14.2,27.8,42.0,20.8,8.2,6.8,20.0,25.0,99.0,LLWWW
MIA,ATL,Regular Season,1,240.0,0.4886,0.3716,0.6954,12.8,27.2,40.0,23.4,8.8,4.0,18.4,26.6,101.6,WLLLL,0.457,0.2794,0.7612,21.2,30.2,51.4,22.6,5.0,4.8,16.4,25.6,112.4,LWWWL
ORL,ATL,Regular Season,1,240.0,0.496,0.4383999999999999,0.7734,12.2,29.8,42.0,24.8,6.0,3.4,16.8,24.4,108.4,WWWLL,0.4651999999999999,0.2145999999999999,0.7744,13.0,29.0,42.0,23.0,9.8,3.8,16.6,27.8,100.0,LWWWL
WAS,PHX,Regular Season,0,240.0,0.4790000000000001,0.4224000000000001,0.7908,10.8,32.0,42.8,22.8,6.8,4.8,14.2,23.8,103.4,WLLWL,0.4588,0.3285999999999999,0.7544000000000001,8.8,25.2,34.0,18.6,6.4,3.6,18.8,18.2,85.0,LLWWW
CLE,PHI,Regular Season,1,240.0,0.4532,0.4894000000000001,0.8186,15.2,25.6,40.8,28.4,10.8,6.0,17.4,21.8,96.8,WLLWL,0.45,0.3162,0.826,11.4,28.6,40.0,19.4,8.6,7.0,17.4,21.6,91.0,LLWLW
CLE,DET,Regular Season,0,245.0,0.4376,0.3936000000000001,0.7482,13.8,33.6,47.4,21.4,5.4,4.2,13.6,17.8,103.8,WLLWL,0.4268,0.2956,0.8308,11.6,34.8,46.4,20.8,7.2,6.6,14.6,20.4,100.2,WWWLW
IND,DEN,Regular Season,0,240.0,0.4632,0.35,0.8148,13.4,31.2,44.6,20.6,6.4,4.4,18.4,27.4,101.2,LLWLL,0.4764,0.396,0.756,14.4,26.2,40.6,24.4,9.4,3.4,16.2,23.4,105.4,LLLLL
DET,ORL,Regular Season,1,240.0,0.4502,0.381,0.7102,9.6,27.8,37.4,22.2,7.4,8.0,11.4,17.8,93.6,LLLLL,0.4234,0.3787999999999999,0.7306,10.6,30.2,40.8,21.0,7.2,4.4,13.0,23.0,88.2,WWLWW
NYK,GSW,Regular Season,0,240.0,0.4582,0.4044000000000001,0.8108000000000001,10.6,36.2,46.8,21.0,5.0,4.2,11.6,22.2,111.2,WWLWW,0.4279999999999999,0.3122,0.7962,8.4,37.0,45.4,22.8,8.0,5.6,14.6,20.6,101.2,LLWWW
CLE,PHX,Regular Season,1,255.0,0.4309999999999999,0.3214000000000001,0.768,12.0,36.0,48.0,24.8,6.4,8.4,12.0,22.4,97.6,WLLWL,0.4586000000000001,0.4155999999999999,0.7268,12.2,32.8,45.0,22.4,7.4,6.4,16.8,24.6,102.4,LLWWW
ATL,SAN,Regular Season,1,240.0,0.5118000000000001,0.3696,0.7769999999999999,18.2,28.2,46.4,26.0,13.8,6.4,14.2,17.6,119.0,WLWLL,0.4478,0.2759999999999999,0.8344000000000001,11.8,27.2,39.0,19.8,9.2,4.4,15.2,28.0,101.0,WWLWL
ATL,BOS,Regular Season,1,240.0,0.4756000000000001,0.3714,0.812,13.8,28.6,42.4,17.6,7.8,5.2,15.4,19.8,100.6,WLWLL,0.4784,0.3971999999999999,0.725,12.8,31.4,44.2,26.0,9.0,5.0,11.8,21.6,107.6,WLWLL
NYK,GSW,Regular Season,1,240.0,0.4548,0.3242000000000001,0.8222000000000002,12.6,38.6,51.2,21.4,7.0,2.2,16.8,18.6,109.8,WWLWW,0.4568,0.4048,0.8532,10.6,29.6,40.2,27.4,5.8,3.2,19.2,21.2,111.2,LLWWW
MIL,ATL,Playoffs,0,240.0,0.4444000000000001,0.2766,0.7578,11.8,39.2,51.0,22.8,7.8,6.0,13.0,17.2,108.4,WLLWL,0.4736000000000001,0.3296,0.8392,8.6,34.4,43.0,19.6,7.2,3.0,13.8,23.0,111.6,LWWWL
SAC,MIN,Regular Season,0,240.0,0.4452000000000001,0.358,0.6678,15.2,30.6,45.8,22.6,8.0,6.6,16.6,21.6,97.6,LWWLL,0.5048,0.3875999999999999,0.675,11.4,30.8,42.2,25.8,10.0,4.6,15.0,23.0,101.6,LLWWW
HOU,MEM,Regular Season,1,240.0,0.413,0.3370000000000001,0.6674,13.6,30.0,43.6,20.2,11.0,4.6,14.8,24.0,95.6,LLWLW,0.4588,0.3596,0.7856,9.4,35.2,44.6,20.8,6.6,5.2,14.8,19.8,103.8,LWWWW
DET,CLE,Regular Season,1,240.0,0.4434,0.4044,0.8018000000000001,11.6,29.4,41.0,20.2,8.2,5.6,15.4,22.6,95.2,LLLLL,0.4352,0.2868000000000001,0.7516,12.4,38.0,50.4,19.0,7.4,5.4,14.0,20.4,100.6,WLLWW
NJN,SAC,Regular Season,1,245.0,0.4732,0.3193999999999999,0.7318,10.6,28.2,38.8,26.6,6.8,2.8,15.2,24.0,98.0,LLLLL,0.4794000000000001,0.3767999999999999,0.7986000000000001,12.0,29.6,41.6,26.2,7.2,3.8,15.0,21.6,108.6,WWWWL
BOS,MIL,Playoffs,1,240.0,0.5072,0.4192,0.7893999999999999,12.0,29.2,41.2,29.0,7.2,5.6,11.0,19.6,110.0,WLLWL,0.4921999999999999,0.062,0.7696000000000001,14.2,27.6,41.8,25.4,12.4,5.4,16.0,27.2,112.8,LLWWW
BOS,MEM,Regular Season,1,240.0,0.4902,0.3588000000000001,0.7312,7.6,32.0,39.6,23.2,9.0,3.6,15.6,21.8,98.4,WLLWL,0.4532,0.3574,0.7722,12.6,31.4,44.0,21.2,6.8,5.6,15.2,19.4,98.0,LWWWW
SAS,GSW,Regular Season,0,240.0,0.4223999999999999,0.3512,0.7974,8.6,34.6,43.2,25.0,6.8,5.8,12.2,14.8,104.2,LWLWL,0.432,0.36,0.7368,8.6,33.6,42.2,24.2,8.2,4.2,14.6,19.6,106.6,LLWWW
SAC,UTH,Regular Season,0,240.0,0.4728,0.1332,0.7034,15.4,26.6,42.0,26.6,10.4,7.2,14.2,22.0,104.8,LWWLL,0.4629999999999999,0.202,0.7849999999999999,12.6,23.0,35.6,24.6,8.6,4.2,17.4,21.2,100.2,WLWWL
NYK,MIN,Regular Season,0,240.0,0.4846,0.5428,0.7722,13.6,32.0,45.6,26.8,6.6,5.6,15.2,18.8,108.8,WWLWW,0.4668,0.1844,0.6597999999999999,16.8,28.2,45.0,24.4,10.8,6.4,12.4,23.0,103.6,LLWWW
DAL,LAC,Regular Season,1,240.0,0.4788,0.3584,0.7362,8.0,28.6,36.6,21.4,9.6,2.6,15.2,20.4,106.0,LLWLL,0.5174000000000001,0.3874000000000001,0.7688,6.8,36.2,43.0,23.0,7.2,4.4,17.8,22.4,111.0,WLLWW
IND,DET,Regular Season,1,240.0,0.4952,0.1666,0.7454,15.6,32.4,48.0,27.6,9.2,4.6,15.4,23.2,114.6,LLWLL,0.4831999999999999,0.2153999999999999,0.8128,15.2,34.4,49.6,22.0,7.0,4.8,14.6,23.6,116.8,WWWLW
CHI,CHA,Regular Season,1,240.0,0.4827999999999999,0.3618,0.7849999999999999,10.0,32.2,42.2,25.0,8.2,6.4,16.4,25.0,100.6,LLWLW,0.4495999999999999,0.4004,0.6428,11.4,26.0,37.4,21.8,7.6,3.8,12.6,21.2,93.8,LWLLL
PHX,NOH,Regular Season,0,250.0,0.4784,0.3944,0.6652,11.8,30.6,42.4,21.6,5.4,6.2,18.6,25.6,101.8,WWWWL,0.4679999999999999,0.4192,0.7336,8.8,33.0,41.8,20.4,10.6,5.2,14.6,21.4,102.4,LWWWL
CLE,PHL,Regular Season,1,245.0,0.4913999999999999,0.3304000000000001,0.7352,9.8,24.6,34.4,24.6,10.6,3.4,13.2,19.4,97.4,WLLWL,0.4702,0.4006,0.7607999999999999,13.4,26.4,39.8,22.6,7.6,2.8,21.6,23.4,94.2,WLWWL
ATL,SAC,Regular Season,0,240.0,0.4594000000000001,0.248,0.617,15.2,26.8,42.0,19.6,9.6,3.4,17.0,22.2,95.0,WLWLL,0.4764,0.3556,0.6664,11.2,31.4,42.6,23.2,6.6,4.6,11.6,20.8,100.6,WWWWL
CLE,BOS,Regular Season,1,245.0,0.5152,0.3694,0.7426,9.0,30.0,39.0,23.8,9.2,7.4,21.0,25.2,95.8,WLLWL,0.4254,0.2948,0.7792,12.8,24.2,37.0,16.6,6.6,2.8,14.8,20.0,89.8,WLWLL
WAS,ATL,Regular Season,0,240.0,0.4568,0.2532000000000001,0.7734,12.6,29.6,42.2,19.6,7.6,6.4,14.8,21.6,95.6,WLLWL,0.483,0.3678,0.7188000000000001,9.8,27.2,37.0,18.2,8.2,5.6,14.0,20.0,99.8,LWWWL
LAC,ORL,Regular Season,0,245.0,0.4511999999999999,0.4054,0.6714,11.6,29.6,41.2,15.4,6.0,6.8,14.8,21.6,92.2,WWWLL,0.4278,0.3643999999999999,0.7,12.0,24.6,36.6,22.2,9.8,3.4,13.2,19.4,88.6,WWLWW
TOR,WAS,Regular Season,1,240.0,0.4282,0.389,0.7724,14.8,28.4,43.2,19.6,6.2,4.0,12.4,18.2,92.2,LWWWW,0.4317999999999999,0.407,0.7809999999999999,9.8,37.0,46.8,19.4,6.4,7.2,18.8,20.8,90.0,WWWWW
PHI,LAC,Regular Season,1,240.0,0.4904,0.4212000000000001,0.6772,13.4,34.0,47.4,23.6,7.6,7.4,16.8,17.4,104.0,WWLWL,0.4593999999999999,0.4236,0.7628000000000001,8.4,28.0,36.4,19.6,10.0,5.2,13.2,23.2,98.4,WLLWW
POR,OKC,Playoffs,1,240.0,0.4880000000000001,0.4146000000000002,0.7536,13.0,36.6,49.6,20.0,7.2,5.0,14.8,18.2,117.0,LLLLL,0.4423999999999999,0.3003999999999999,0.752,13.2,34.0,47.2,24.6,7.4,4.2,13.8,25.6,111.0,WLWWL
NYK,MIL,Regular Season,0,245.0,0.4744,0.4296000000000001,0.7302,7.6,32.8,40.4,22.2,6.2,7.0,17.2,21.6,93.0,WWLWW,0.4702,0.3157999999999999,0.6839999999999999,12.6,30.8,43.4,19.8,7.8,6.8,15.6,27.2,99.0,LLWWW
LAL,MEM,Regular Season,1,240.0,0.439,0.4022000000000001,0.674,7.8,35.2,43.0,24.0,9.0,6.0,18.8,21.6,106.6,WWWLL,0.4674,0.3294,0.8086,9.6,38.0,47.6,26.6,9.6,5.6,16.4,18.6,112.0,LWWWW
